"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"192","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:08:09,FALSE,NA,"982032170662408192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gidmeister",11186,TRUE,FALSE,NA,NA
"193","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:08:07,FALSE,NA,"982032162038927365",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CorkySigurdson",11186,TRUE,FALSE,NA,NA
"194","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:08:02,FALSE,NA,"982032141734367232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sarahcycles",11186,TRUE,FALSE,NA,NA
"195","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:07:57,FALSE,NA,"982032121643651077",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanerE_57",11186,TRUE,FALSE,NA,NA
"196","The Latest Royal Wedding 2018 News: What we know so far: https://t.co/hpZr9LJCt8 via @YouTube",FALSE,0,NA,2018-04-05 23:07:52,FALSE,NA,"982032098889486337",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","thuongnb",0,FALSE,FALSE,NA,NA
"197","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:07:48,FALSE,NA,"982032081609023488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oddlyenough7",11186,TRUE,FALSE,NA,NA
"198","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:07:47,FALSE,NA,"982032077901193217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aussierep1",11186,TRUE,FALSE,NA,NA
"199","RT @ajplus: A museum in London has offered to “loan” items, including a gold crown and royal wedding dress, to Ethiopia. British troops sei…",FALSE,0,NA,2018-04-05 23:07:47,FALSE,NA,"982032077427060737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gualjeganu",310,TRUE,FALSE,NA,NA
"200","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:07:44,FALSE,NA,"982032064168906752",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","boness_jim",11186,TRUE,FALSE,NA,NA
"201","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:07:40,FALSE,NA,"982032049690238977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jodie_robinett",11186,TRUE,FALSE,NA,NA
"202","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:07:34,FALSE,NA,"982032025698930688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Clumsy_Beast",11186,TRUE,FALSE,NA,NA
"203","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:07:03,FALSE,NA,"982031895788572672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CrazyBob48",11186,TRUE,FALSE,NA,NA
"204","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:07:00,FALSE,NA,"982031883172278272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rameribe",11186,TRUE,FALSE,NA,NA
"205","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:06:47,FALSE,NA,"982031827409035265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nick102456",11186,TRUE,FALSE,NA,NA
"206","RT @NJAInteriors1: Hey @realDonaldTrump did you know the OBAMAS AND the CLINTONS are all invited to the Royal Wedding? 

That’s fricking aw…",FALSE,0,NA,2018-04-05 23:06:41,FALSE,NA,"982031803883155456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","p143aris",345,TRUE,FALSE,NA,NA
"207","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:06:41,FALSE,NA,"982031801425133569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamsarabourne",11186,TRUE,FALSE,NA,NA
"208","RT @PaladinCornelia: Here are two couples who have been invited to the Royal Wedding.  

@FLOTUS and @realDonaldTrump have NOT been invited…",FALSE,0,NA,2018-04-05 23:06:26,FALSE,NA,"982031737415909377",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yogisvana",60,TRUE,FALSE,NA,NA
"209","I added a video to a @YouTube playlist https://t.co/hpZr9LJCt8 The Latest Royal Wedding 2018 News: What we know so far",FALSE,0,NA,2018-04-05 23:06:24,FALSE,NA,"982031731195772928",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","thuongnb",0,FALSE,FALSE,NA,NA
"210","RT @HillaryWarnedUs: Raise your hand if you're invited to the Royal Wedding while Trump isn't. https://t.co/ejfNQbmwrz",FALSE,0,NA,2018-04-05 23:06:21,FALSE,NA,"982031720018071558",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sba1211",353,TRUE,FALSE,NA,NA
"211","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:06:07,FALSE,NA,"982031659783647241",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RednexPunk",11186,TRUE,FALSE,NA,NA
"212","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:06:05,FALSE,NA,"982031652527341568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsArdychan",11186,TRUE,FALSE,NA,NA
